Date,State,Confirmed,Predicted
2020/6/13,AL,891,-1
2020/6/14,AL,1014,-1
2020/6/15,AL,657,-1
2020/6/16,AL,640,-1
2020/6/17,AL,400,-1
2020/6/18,AL,894,-1
2020/6/19,AL,796,-1
2020/6/20,AL,547,-1
2020/6/21,AL,472,-1
2020/6/22,AL,433,-1
2020/6/23,AL,643,-1
2020/6/24,AL,967,-1
2020/6/25,AL,1142,-1
2020/6/26,AL,977,-1
2020/6/27,AL,900,-1
2020/6/28,AL,358,-1
2020/6/29,AL,1734,-1
2020/6/30,AL,870,-1
2020/7/1,AL,917,-1
2020/7/2,AL,1149,-1
2020/7/3,AL,1754,-1
2020/7/4,AL,997,-1
2020/7/5,AL,1091,-1
2020/7/6,AL,925,-1
2020/7/7,AL,907,-1
2020/7/8,AL,1177,-1
2020/7/9,AL,2212,-1
2020/7/10,AL,1334,-1
2020/7/11,AL,1439,-1
2020/7/12,AL,1640,-1
2020/7/13,AL,1958,-1
2020/7/14,AL,1710,-1
2020/7/15,AL,1812,-1
2020/7/16,AL,2021,-1
2020/7/17,AL,2003,-1
2020/7/18,AL,2143,-1
2020/7/19,AL,1777,-1
2020/7/20,AL,1880,-1
2020/7/21,AL,1467,-1
2020/7/22,AL,1455,-1
2020/7/23,AL,2399,-1
2020/7/24,AL,1793,-1
2020/7/25,AL,2125,-1
2020/7/26,AL,1164,-1
2020/7/27,AL,1821,-1
2020/7/28,AL,1251,-1
2020/7/29,AL,1416,-1
2020/7/30,AL,1980,-1
2020/7/31,AL,1961,-1
2020/8/1,AL,1626,-1
2020/8/2,AL,2095,-1
2020/8/3,AL,1217,-1
2020/8/4,AL,1041,-1
2020/8/5,AL,952,-1
2020/8/6,AL,1938,-1
2020/8/7,AL,1709,-1
2020/8/8,AL,1872,-1
2020/8/9,AL,1161,-1
2020/8/10,AL,1686,-1
2020/8/11,AL,831,-1
2020/8/12,AL,935,-1
2020/8/13,AL,771,-1
2020/8/14,AL,752,-1
2020/8/15,AL,1271,-1
2020/8/16,AL,853,-1
2020/8/17,AL,571,-1
2020/8/18,AL,1357,-1
2020/8/19,AL,1117,-1
2020/8/20,AL,971,-1
2020/8/21,AL,1183,-1
2020/8/22,AL,900,-1
2020/8/23,AL,528,-1
2020/8/24,AL,1650,-1
2020/8/25,AL,532,-1
2020/8/26,AL,2012,-1
2020/8/27,AL,1769,-1
2020/8/28,AL,1162,-1
2020/8/29,AL,1704,-1
2020/8/30,AL,1346,-1
2020/8/31,AL,823,-1
2020/9/1,AL,1558,-1
2020/9/2,AL,623,-1
2020/9/3,AL,1046,-1
2020/9/4,AL,1108,-1
2020/9/5,AL,1410,-1
2020/9/6,AL,511,-1
2020/9/7,AL,659,-1
2020/9/8,AL,633,-1
2020/9/9,AL,811,-1
2020/9/10,AL,1148,-1
2020/9/11,AL,1138,-1
2020/9/12,AL,943,-1
2020/9/13,AL,1109,-1
2020/9/14,AL,704,-1
2020/9/15,AL,701,-1
2020/9/16,AL,927,-1
2020/9/17,AL,670,-1
2020/9/18,AL,1106,-1
2020/9/19,AL,1301,-1
2020/9/20,AL,798,-1
2020/9/21,AL,818,-1
2020/9/22,AL,804,-1
2020/9/23,AL,569,-1
2020/9/24,AL,1053,-1
2020/9/25,AL,2452,-1
2020/9/26,AL,933,-1
2020/9/27,AL,730,-1
2020/9/28,AL,662,-1
2020/9/29,AL,571,-1
2020/9/30,AL,1147,-1
2020/10/1,AL,1043,-1
2020/10/2,AL,954,-1
2020/10/3,AL,1682,-1
2020/10/4,AL,789,-1
2020/10/5,AL,544,-1
2020/10/6,AL,764,-1
2020/10/7,AL,941,-1
2020/10/8,AL,557,-1
2020/10/9,AL,1490,-1
2020/10/10,AL,1061,-1
2020/10/11,AL,816,-1
2020/10/12,AL,734,-1
2020/10/13,AL,1117,-1
2020/10/14,AL,784,-1
2020/10/15,AL,1185,-1
2020/10/16,AL,1212,-1
2020/10/17,AL,1288,-1
2020/10/18,AL,964,-1
2020/10/19,AL,859,-1
2020/10/20,AL,1043,-1
2020/10/21,AL,1146,-1
2020/10/22,AL,1390,-1
2020/10/23,AL,3852,-1
2020/10/24,AL,2360,-1
2020/10/25,AL,1079,-1
2020/10/26,AL,967,-1
2020/10/27,AL,1115,-1
2020/10/28,AL,1269,-1
2020/10/29,AL,1443,-1
2020/10/30,AL,1347,-1
2020/10/31,AL,1789,-1
2020/11/1,AL,1700,-1
2020/11/2,AL,907,-1
2020/11/3,AL,1037,-1
2020/11/4,AL,1848,-1
2020/11/5,AL,1381,-1
2020/11/6,AL,1556,-1
2020/11/7,AL,1768,-1
2020/11/8,AL,1205,-1
2020/11/9,AL,1170,-1
2020/11/10,AL,1710,-1
2020/11/11,AL,2070,-1
2020/11/12,AL,2000,-1
2020/11/13,AL,2980,-1
2020/11/14,AL,2226,-1
2020/11/15,AL,1979,-1
2020/11/16,AL,1410,-1
2020/11/17,AL,1616,-1
2020/11/18,AL,2638,-1
2020/11/19,AL,2424,-1
2020/11/20,AL,2463,-1
2020/11/21,AL,2335,-1
2020/11/22,AL,1798,-1
2020/11/23,AL,1574,-1
2020/11/24,AL,2785,-1
2020/11/25,AL,2453,-1
2020/11/26,AL,2639,-1
2020/11/27,AL,917,-1
2020/11/28,AL,2119,-1
2020/11/29,AL,2236,-1
2020/11/30,AL,2295,-1
2020/12/1,AL,3376,-1
2020/12/2,AL,3928,-1
2020/12/3,AL,3531,-1
2020/12/4,AL,3840,-1
2020/12/5,AL,3390,-1
2020/12/6,AL,2288,-1
2020/12/7,AL,2352,-1
2020/12/8,AL,4436,-1
2020/12/9,AL,3522,-1
2020/12/10,AL,4735,-1
2020/12/11,AL,3853,-1
2020/12/12,AL,4066,-1
2020/12/13,AL,2790,-1
2020/12/14,AL,2264,-1
2020/12/15,AL,3638,-1
2020/12/16,AL,4107,-1
2020/12/17,AL,4695,-1
2020/12/18,AL,5348,-1
2020/12/19,AL,4221,-1
2020/12/20,AL,2548,-1
2020/12/21,AL,2380,-1
2020/12/22,AL,4979,-1
2020/12/23,AL,4758,-1
2020/12/24,AL,4232,-1
2020/12/25,AL,3625,-1
2020/12/26,AL,1032,-1
2020/12/27,AL,2170,-1
2020/12/28,AL,2269,-1
2020/12/29,AL,3907,-1
2020/12/30,AL,5016,-1
2020/12/31,AL,4406,-1
2021/1/1,AL,4521,-1
2021/1/2,AL,3711,-1
2021/1/3,AL,2476,-1
2021/1/4,AL,2161,-1
2021/1/5,AL,5498,-1
2021/1/6,AL,4591,4436
2021/1/7,AL,5046,4426
2021/1/8,AL,5057,4452
2021/1/9,AL,4863,4427
2021/1/10,AL,2750,4345
2021/1/11,AL,2100,4264
2021/1/12,AL,3848,4202
2021/1/13,AL,3147,4143
2021/1/14,AL,3588,4000
2021/1/15,AL,2945,3926
2021/1/16,AL,3153,3766
2021/1/17,AL,1917,3674
2021/1/18,AL,1430,3626
2021/1/19,AL,2515,3607
2021/1/20,AL,3112,3642
2021/1/21,AL,2881,3604
2021/1/22,AL,3551,3564
2021/1/23,AL,3355,3467
2021/1/24,AL,1728,3438
2021/1/25,AL,1839,3433
2021/1/26,AL,2900,3440
2020/2/1,AR,0,-1
2020/2/2,AR,0,-1
2020/2/3,AR,0,-1
2020/2/4,AR,0,-1
2020/2/5,AR,0,-1
2020/2/6,AR,0,-1
2020/2/7,AR,0,-1
2020/2/8,AR,0,-1
2020/2/9,AR,0,-1
2020/2/10,AR,0,-1
2020/2/11,AR,0,-1
2020/2/12,AR,0,-1
2020/2/13,AR,0,-1
2020/2/14,AR,0,-1
2020/2/15,AR,0,-1
2020/2/16,AR,0,-1
2020/2/17,AR,0,-1
2020/2/18,AR,0,-1
2020/2/19,AR,0,-1
2020/2/20,AR,0,-1
2020/2/21,AR,0,-1
2020/2/22,AR,0,-1
2020/2/23,AR,0,-1
2020/2/24,AR,0,-1
2020/2/25,AR,0,-1
2020/2/26,AR,0,-1
2020/2/27,AR,0,-1
2020/2/28,AR,0,-1
2020/2/29,AR,0,-1
2020/3/1,AR,0,-1
2020/3/2,AR,0,-1
2020/3/3,AR,0,-1
2020/3/4,AR,0,-1
2020/3/5,AR,0,-1
2020/3/6,AR,0,-1
2020/3/7,AR,0,-1
2020/3/8,AR,0,-1
2020/3/9,AR,0,-1
2020/3/10,AR,0,-1
2020/3/11,AR,1,-1
2020/3/12,AR,5,-1
2020/3/13,AR,1,-1
2020/3/14,AR,2,-1
2020/3/15,AR,7,-1
2020/3/16,AR,6,-1
2020/3/17,AR,0,-1
2020/3/18,AR,11,-1
2020/3/19,AR,29,-1
2020/3/20,AR,38,-1
2020/3/21,AR,18,-1
2020/3/22,AR,47,-1
2020/3/23,AR,36,-1
2020/3/24,AR,30,-1
2020/3/25,AR,76,-1
2020/3/26,AR,43,-1
2020/3/27,AR,35,-1
2020/3/28,AR,24,-1
2020/3/29,AR,40,-1
2020/3/30,AR,59,-1
